priority,details,status,deadline,completed,Project
1,Desert lime,Completed,2011-08-05,2011-07-29,The White Swan
1,Blue tongue,In Progress,2007-10-12,2007-10-10,"Cisco Systems, Inc."
5,Berberis vulgaris,Accepted,2016-12-23,2016-12-16,Payless ShoeSource
0,Black cherry,Completed,2003-06-10,2003-06-09,Better Business Ideas and Services
0,Physalis,Canceled,2005-09-03,2005-08-28,C.H. Robinson Worldwide
0,Black apple,In Evaluation,2012-02-09,2012-02-08,Advanced Micro Devices
2,Huckleberry,New,2007-06-01,2007-05-28,Plan Smart Partner
1,Damson plum,Completed,2005-08-31,2005-08-27,Magna Architectural Design
3,Redcurrant,Accepted,2014-02-17,2014-02-16,Martin Marietta Materials
0,Cocoplum,Completed,2017-10-13,2017-10-09,Advanced Micro Devices
2,Kei apple,In Evaluation,2018-05-02,2018-04-26,Fabrik Inc.
2,Cranberry,Completed,2012-07-17,2012-07-16,DST Systems
1,Longan,Accepted,2020-09-06,2020-09-05,Amerigroup
4,Physalis,In Verification,2012-10-03,2012-09-29,Intel
0,Raspberry,In Evaluation,2004-12-14,2004-12-08,Altec Lansing
4,Doubah,Pending,2018-01-03,2018-01-01,Complete Tech
3,Date plum,In Verification,2001-04-14,2001-04-08,Coventry Health Care
3,Bacuri,Canceled,2020-04-24,2020-04-20,Bountiful Harvest Health Food Store
2,Cloudberry,In Evaluation,2013-03-28,2013-03-23,Snap-on Tools
4,Kakadu lime,New,2014-02-11,2014-02-07,Converse
0,Physalis,Completed,2019-05-30,2019-05-25,"Cisco Systems, Inc."
1,Bacupari,Canceled,2014-03-01,2014-02-28,Global Insight
2,Coffee,In Progress,2003-02-26,2003-02-23,U.S. Robotics
2,Elderberry,In Evaluation,2015-07-11,2015-07-06,Plan Smart Partner
4,Betel nut,In Verification,2006-02-02,2006-01-30,Gamma Grays
4,Kiwifruit,In Evaluation,2005-03-11,2005-03-05,Orion
2,Berberis vulgaris,New,2018-07-19,2018-07-14,Yahoo!
3,Duku,Completed,2006-12-28,2006-12-21,Warner Bros. Entertainment
2,Highbush cranberry,In Evaluation,2016-11-05,2016-11-01,Visa Inc.
5,Eugenia uniflora,Accepted,2007-07-11,2007-07-06,BB&T Corporation
